ts_code,name,invest_type,category
026413.OF,中邮睿信增强C,债券型,债券型-主动
026226.OF,东海增裕C,债券型,债券型-主动
026220.OF,东海增裕A,债券型,债券型-主动
026263.OF,平安港股通均衡配置A,混合型,混合型-偏股
026098.OF,前海开源安和C,债券型,债券型-主动
026097.OF,前海开源安和A,债券型,债券型-主动
026199.OF,大摩港股通多元成长A,混合型,混合型-偏股
026264.OF,平安港股通均衡配置C,混合型,混合型-偏股
025202.OF,中欧港股通大盘精选A,混合型,混合型-偏股
026200.OF,大摩港股通多元成长C,混合型,混合型-偏股
025203.OF,中欧港股通大盘精选C,混合型,混合型-偏股
026382.OF,中航洞见领航A,混合型,混合型-偏股
026383.OF,中航洞见领航C,混合型,混合型-偏股
026496.OF,东方红消费研选C,混合型,混合型-偏股
026495.OF,东方红消费研选A,混合型,混合型-偏股
026512.OF,睿远研选均衡三年持有,混合型,混合型-偏股
025548.OF,鑫元鑫选多元稳进配置3个月持有A,混合型,混合型-偏股
025549.OF,鑫元鑫选多元稳进配置3个月持有C,混合型,混合型-偏股
010579.OF,中金恒嘉稳健3个月持有A,债券型,债券型-主动
026116.OF,广发悦盈稳健三个月持有C,混合型,混合型-偏股
026115.OF,广发悦盈稳健三个月持有A,混合型,混合型-偏股
026007.OF,中金恒嘉稳健3个月持有C,债券型,债券型-主动
025025.OF,万家启泰稳健三个月持有A,混合型,混合型-偏股
025052.OF,万家启泰稳健三个月持有E,混合型,混合型-偏股
025026.OF,万家启泰稳健三个月持有C,混合型,混合型-偏股
026531.OF,富国鑫年C,混合型,混合型-偏股
026468.OF,山证资管数字经济锐选A,股票型,主动股票型
026545.OF,中银养老目标日期2050五年持有Y,混合型,混合型-偏股
026469.OF,山证资管数字经济锐选C,股票型,主动股票型
026174.OF,路博迈港股通科技C,股票型,主动股票型
026237.OF,广发平衡精选D,混合型,混合型-偏股
026235.OF,广发平衡精选A,混合型,混合型-偏股
026238.OF,广发平衡精选E,混合型,混合型-偏股
026236.OF,广发平衡精选C,混合型,混合型-偏股
026272.OF,上银消费机遇C,混合型,混合型-偏股
026271.OF,上银消费机遇A,混合型,混合型-偏股
026283.OF,东方红先锋锐选C,混合型,混合型-偏股
026282.OF,东方红先锋锐选A,混合型,混合型-偏股
026070.OF,安信港股通臻选A,混合型,混合型-偏股
026071.OF,安信港股通臻选C,混合型,混合型-偏股
026046.OF,华商安元C,债券型,债券型-主动
026052.OF,信澳鑫丰C,债券型,债券型-主动
026051.OF,信澳鑫丰A,债券型,债券型-主动
024826.OF,东兴低碳经济A,混合型,混合型-偏股
024827.OF,东兴低碳经济C,混合型,混合型-偏股
026251.OF,易方达消费机遇A,混合型,混合型-偏股
026252.OF,易方达消费机遇C,混合型,混合型-偏股
026173.OF,路博迈港股通科技A,股票型,主动股票型
026045.OF,华商安元A,债券型,债券型-主动
017286.OF,中航祥泰6个月封闭A,债券型,债券型-主动
026285.OF,东方红嘉享C,混合型,混合型-偏股
026284.OF,东方红嘉享A,混合型,混合型-偏股
025325.OF,富达任远保守养老目标一年持有,混合型,混合型-偏股
026472.OF,益民创新优势C,混合型,混合型-偏股
025987.OF,东海领航精选3个月持有D,混合型,混合型-偏股
025986.OF,东海领航精选3个月持有C,混合型,混合型-偏股
025816.OF,中加智选添元三个月持有A,混合型,混合型-偏股
025985.OF,东海领航精选3个月持有A,混合型,混合型-偏股
025817.OF,中加智选添元三个月持有C,混合型,混合型-偏股
024999.OF,中航祥泰6个月封闭C,债券型,债券型-主动
026135.OF,泰康裕泽A,债券型,债券型-主动
026273.OF,平安数字经济精选A,混合型,混合型-偏股
025257.OF,汇添富多元配置三个月持有A,混合型,混合型-偏股
026188.OF,中邮周期精选C,混合型,混合型-偏股
026274.OF,平安数字经济精选C,混合型,混合型-偏股
025258.OF,汇添富多元配置三个月持有C,混合型,混合型-偏股
025368.OF,东财启和A,混合型,混合型-偏股
025921.OF,易方达如意盈享6个月持有A,混合型,混合型-偏股
025922.OF,易方达如意盈享6个月持有C,混合型,混合型-偏股
025369.OF,东财启和C,混合型,混合型-偏股
026018.OF,平安发现价值A,混合型,混合型-偏股
026332.OF,广发盛世精选A,混合型,混合型-偏股
026187.OF,中邮周期精选A,混合型,混合型-偏股
026333.OF,广发盛世精选C,混合型,混合型-偏股
026019.OF,平安发现价值C,混合型,混合型-偏股
026136.OF,泰康裕泽C,债券型,债券型-主动
024590.OF,中欧港股通机遇A,混合型,混合型-偏股
026081.OF,财通资管优质研选A,混合型,混合型-偏股
024591.OF,中欧港股通机遇C,混合型,混合型-偏股
026082.OF,财通资管优质研选C,混合型,混合型-偏股
026420.OF,大摩多因子策略C,混合型,混合型-偏股
025834.OF,博时集益多元配置3个月持有A,混合型,混合型-偏股
026435.OF,金信民旺E,债券型,债券型-主动
025837.OF,博时集益多元配置3个月持有C,混合型,混合型-偏股
026421.OF,大摩ESG量化先行C,混合型,混合型-偏股
026167.OF,国泰港股通精选A,混合型,混合型-偏股
026168.OF,国泰港股通精选C,混合型,混合型-偏股
026023.OF,汇泉安悦90天持有A,债券型,债券型-主动
026024.OF,汇泉安悦90天持有C,债券型,债券型-主动
026414.OF,国富强化收益D,强化收益型,混合型-偏债
026253.OF,国泰产业升级A,混合型,混合型-偏股
026323.OF,广发消费智选A,混合型,混合型-偏股
026254.OF,国泰产业升级C,混合型,混合型-偏股
026324.OF,广发消费智选C,混合型,混合型-偏股
026327.OF,广发乾元价值增长A,混合型,混合型-偏股
026328.OF,广发乾元价值增长C,混合型,混合型-偏股
026042.OF,天弘普利90天持有C,债券型,债券型-主动
026041.OF,天弘普利90天持有A,债券型,债券型-主动
026316.OF,广发弘利3个月滚动持有A,债券型,债券型-主动
026056.OF,东方红汇裕C,债券型,债券型-主动
026055.OF,东方红汇裕A,债券型,债券型-主动
025998.OF,永赢汇欣C,混合型,混合型-偏股
026162.OF,招商安琪C,债券型,债券型-主动
025997.OF,永赢汇欣A,混合型,混合型-偏股
026063.OF,大成元瑞诚利C,债券型,债券型-主动
026062.OF,大成元瑞诚利A,债券型,债券型-主动
