ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
026237.OF,广发平衡精选D,混合型,混合型-偏股,1.06,0.64,13.79,27.92,8.43,0.42,44,1167.0,77.65427366807207,435.0,91.6953693073096,71.4,preferred,False,True,False,False,True,False,30.597603074251335,False
026235.OF,广发平衡精选A,混合型,混合型-偏股,1.09,0.71,13.87,27.92,8.42,0.42,44,1140.0,78.17171330011499,428.0,91.82931496364333,71.5,preferred,False,True,False,False,True,False,6.935344560935965,False
026238.OF,广发平衡精选E,混合型,混合型-偏股,1.02,0.57,13.66,27.92,8.44,0.42,44,1198.0,77.06017631276352,452.0,91.3700727133563,71.2,preferred,False,True,False,False,True,False,23.36109547754119,False
026236.OF,广发平衡精选C,混合型,混合型-偏股,1.06,0.64,13.75,27.92,8.43,0.42,44,1166.0,77.67343809888847,440.0,91.5996938384998,71.3,preferred,False,True,False,False,True,False,6.9859344872786515,False
026332.OF,广发盛世精选A,混合型,混合型-偏股,-0.24,5.59,14.3,31.22,5.81,0.39,48,225.0,95.70716749712534,403.0,92.3076923076923,71.4,preferred,False,True,False,False,True,False,5.917724886544682,False
026333.OF,广发盛世精选C,混合型,混合型-偏股,-0.27,5.51,14.17,31.22,5.83,0.39,48,230.0,95.61134534304333,412.0,92.13547646383468,71.4,preferred,False,True,False,False,True,False,11.986767467515481,False
026420.OF,大摩多因子策略C,混合型,混合型-偏股,-0.95,-2.82,9.03,17.06,6.17,0.41,50,3474.0,33.4419317746263,1032.0,80.27171833141983,72.6,watch,False,True,False,False,True,False,1.1599719819605279,False
026014.OF,广发新锐智选C,混合型,混合型-偏股,0.06,-0.7,11.15,15.75,6.02,0.58,60,2366.0,54.67612111920276,735.0,85.95484117872178,78.8,preferred,False,True,False,False,True,False,8.405995060599015,False
026290.OF,红土创新科技创新C,股票型,主动股票型,6.03,15.14,17.9,39.51,7.0,0.4,70,4.0,99.48096885813148,43.0,92.73356401384083,70.0,preferred,False,True,False,False,True,False,13.523872834969067,False
026293.OF,红土创新转型精选C,灵活配置型,混合型-平衡,5.74,14.06,17.41,38.94,6.88,0.4,70,2.0,99.78858350951374,27.0,94.5031712473573,70.4,preferred,False,True,False,False,True,False,8.509568016606316,False
026101.OF,前海开源康悦稳健养老一年持有Y,混合型,混合型-偏股,0.34,0.79,4.88,6.15,2.16,0.47,70,1103.0,78.88079724032197,1929.0,63.10753922694221,71.9,watch,False,True,False,False,True,False,1.1217806652557687,False
025559.OF,光大阳光启明星创新驱动主题C,混合型,混合型-偏股,1.73,-0.1,8.22,16.7,5.83,0.37,86,1821.0,65.12073591414335,1180.0,77.43972445464983,71.1,watch,False,True,False,False,True,False,2.265462029460294,False
